ciudad,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9
C0,0.0,69.04,32.8,59.8,31.93,41.18,67.0,71.65,65.74,13.63
C1,69.04,0.0,95.03,66.03,63.18,33.37,31.03,45.24,66.62,55.44
C2,32.8,95.03,0.0,91.79,63.67,62.52,98.6,104.24,65.75,43.9
C3,59.8,66.03,91.79,0.0,28.11,67.1,38.58,29.38,108.95,53.79
C4,31.93,63.18,63.67,28.11,0.0,50.25,47.07,46.19,88.1,28.37
C5,41.18,33.37,62.52,67.1,50.25,0.0,48.61,60.35,42.78,29.16
C6,67.0,31.03,98.6,38.58,47.07,48.61,0.0,14.24,90.11,54.71
C7,71.65,45.24,104.24,29.38,46.19,60.35,14.24,0.0,102.69,60.85
C8,65.74,66.62,65.75,108.95,88.1,42.78,90.11,102.69,0.0,60.68
C9,13.63,55.44,43.9,53.79,28.37,29.16,54.71,60.85,60.68,0.0
