ciudad,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
C0,0.0,69.04,32.8,59.8,31.93,41.18,67.0,71.65,65.74,13.63,52.21,77.12,46.65,14.2,43.23
C1,69.04,0.0,95.03,66.03,63.18,33.37,31.03,45.24,66.62,55.44,37.13,8.18,53.4,72.79,72.98
C2,32.8,95.03,0.0,91.79,63.67,62.52,98.6,104.24,65.75,43.9,84.47,102.57,79.37,22.69,73.12
C3,59.8,66.03,91.79,0.0,28.11,67.1,38.58,29.38,108.95,53.79,29.13,72.22,16.37,73.37,21.89
C4,31.93,63.18,63.67,28.11,0.0,50.25,47.07,46.19,88.1,28.37,31.32,71.0,18.0,45.83,13.47
C5,41.18,33.37,62.52,67.1,50.25,0.0,48.61,60.35,42.78,29.16,42.02,40.4,50.84,41.12,63.32
C6,67.0,31.03,98.6,38.58,47.07,48.61,0.0,14.24,90.11,54.71,15.91,35.42,31.08,76.22,52.09
C7,71.65,45.24,104.24,29.38,46.19,60.35,14.24,0.0,102.69,60.85,20.3,49.27,28.27,82.63,47.42
C8,65.74,66.62,65.75,108.95,88.1,42.78,90.11,102.69,0.0,60.68,84.8,70.17,92.58,55.71,101.56
C9,13.63,55.44,43.9,53.79,28.37,29.16,54.71,60.85,60.68,0.0,40.77,63.54,38.71,21.79,41.57
C10,52.21,37.13,84.47,29.13,31.32,42.02,15.91,20.3,84.8,40.77,0.0,43.81,16.86,62.56,37.69
C11,77.12,8.18,102.57,72.22,71.0,40.4,35.42,49.27,70.17,63.54,43.81,0.0,60.42,80.49,80.41
C12,46.65,53.4,79.37,16.37,18.0,50.84,31.08,28.27,92.58,38.71,16.86,60.42,0.0,59.41,21.06
C13,14.2,72.79,22.69,73.37,45.83,41.12,76.22,82.63,55.71,21.79,62.56,80.49,59.41,0.0,57.42
C14,43.23,72.98,73.12,21.89,13.47,63.32,52.09,47.42,101.56,41.57,37.69,80.41,21.06,57.42,0.0
