configuracion,corridas,valor_mejor,valor_peor,valor_promedio,desviacion,peso_mejor,capacidad,gen_mejor_promedio,poblacion_valida_%,mejor_invalida_%,optimo_dp,corridas_en_optimo_%,brecha_promedio_%,n_objetos,estrategia
15 objetos / penalizacion debil,30,511,482,493.1,3.89,157,152,17.6,63.7,3.3,493,90.0,-0.027,15,penalizacion debil
15 objetos / penalizacion fuerte,30,493,468,488.4,6.69,150,152,22.2,73.9,0.0,493,50.0,0.933,15,penalizacion fuerte
15 objetos / reparacion,30,493,493,493.0,0.0,150,152,2.9,100.0,0.0,493,100.0,0.0,15,reparacion
30 objetos / penalizacion debil,30,1069,1030,1045.5,7.72,322,312,30.7,46.8,43.3,1047,23.3,0.14,30,penalizacion debil
30 objetos / penalizacion fuerte,30,1041,983,1020.1,11.74,311,312,32.0,73.4,0.0,1047,0.0,2.569,30,penalizacion fuerte
30 objetos / reparacion,30,1047,1038,1044.0,2.68,312,312,19.5,100.0,0.0,1047,33.3,0.29,30,reparacion
50 objetos / penalizacion debil,30,1672,1622,1642.2,11.6,544,536,32.4,45.2,56.7,1669,0.0,1.604,50,penalizacion debil
50 objetos / penalizacion fuerte,30,1632,1562,1605.1,17.0,536,536,34.0,69.7,0.0,1669,0.0,3.827,50,penalizacion fuerte
50 objetos / reparacion,30,1669,1658,1666.0,3.18,536,536,30.3,100.0,0.0,1669,13.3,0.182,50,reparacion
100 objetos / penalizacion debil,30,3289,3015,3098.6,49.86,1093,1038,33.9,45.4,56.7,3266,0.0,5.127,100,penalizacion debil
100 objetos / penalizacion fuerte,30,3083,2929,3009.8,40.06,1038,1038,32.7,69.2,0.0,3266,0.0,7.843,100,penalizacion fuerte
100 objetos / reparacion,30,3258,3208,3242.0,11.59,1037,1038,32.3,100.0,0.0,3266,0.0,0.736,100,reparacion
