N,poblacion,tasa_mutacion,elitismo,cruce,corridas,tasa_exito_%,gens_promedio,gens_minimo,gens_maximo,conflictos_prom,tiempo_promedio_s
6,20,0.05,2,OX,30,100.0,59.1,1,282,0.0,0.0285
6,20,0.1,2,OX,30,96.7,58.7,1,283,0.033,0.0318
6,20,0.2,2,OX,30,100.0,39.1,1,227,0.0,0.0189
6,50,0.05,2,OX,30,96.7,8.3,1,61,0.033,0.021
6,50,0.1,2,OX,30,100.0,4.2,1,17,0.0,0.005
6,50,0.2,2,OX,30,100.0,5.4,1,26,0.0,0.0061
6,100,0.05,2,OX,30,100.0,2.0,1,6,0.0,0.0041
6,100,0.1,2,OX,30,100.0,2.1,1,6,0.0,0.0047
6,100,0.2,2,OX,30,100.0,1.9,1,4,0.0,0.0039
8,20,0.05,2,OX,30,86.7,62.1,1,276,0.133,0.057
8,20,0.1,2,OX,30,86.7,52.0,1,296,0.133,0.0656
8,20,0.2,2,OX,30,100.0,21.7,1,155,0.0,0.0173
8,50,0.05,2,OX,30,100.0,6.8,1,63,0.0,0.0125
8,50,0.1,2,OX,30,96.7,5.7,1,23,0.033,0.029
8,50,0.2,2,OX,30,100.0,13.0,1,203,0.0,0.025
8,100,0.05,2,OX,30,100.0,3.4,1,11,0.0,0.0074
8,100,0.1,2,OX,30,100.0,3.2,1,13,0.0,0.007
8,100,0.2,2,OX,30,100.0,3.9,1,17,0.0,0.0086
